x,y,sim1,sim2,sim3,sim4,sim5
9.625,7.625,0.960064352,1.385344625,1.328811049,1.074088812,1.126309752
8.375,6.125,0.979143083,1.157799482,1.051386118,1.056144118,1.182494879
6.875,10,0.985497832,0.735353708,1.188342929,1.019299507,1.065655351
4.75,8.375,1.040150881,1.039381623,1.187336802,1.146261096,0.969741762
6,1.75,1.283214569,0.853066087,1.291905761,0.834781826,1.249529362
3,5.5,1.1145612,0.777471662,1.198639154,0.782811224,0.983888686
9.75,7.25,0.87291199,1.316735983,1.320961714,1.055090308,1.204598904
3,7,0.969843149,0.844013631,0.964315653,0.809990168,0.807857275
6.25,7,0.909446657,1.138067961,1.252042413,1.029627562,1.011531472
8,0.125,1.142648935,1.162566662,1.087813258,0.898059726,1.205623865
6.375,3.75,1.230852365,1.194081783,1.287305474,1.014158368,1.230574131
10,9.5,1.038060308,1.347990394,1.213958025,1.069375873,1.050351977
4,1.375,1.286004305,1.389247298,1.074539065,0.856449306,1.232272029
4.375,8.25,0.999349713,0.844526052,1.153129339,1.100192547,0.959913194
9.375,8.75,1.043532372,1.174365997,1.204182386,1.019935369,1.099408507
9,5.625,0.944667578,1.193373561,1.04361999,1.018562078,1.342356324
1.125,9.875,0.783874512,0.881606042,0.970556319,0.881094038,0.706419945
1.875,9.375,0.680190921,1.100214481,1.048463225,1.056628585,0.660313785
4.125,2.625,1.331165075,1.184698582,1.119300604,0.823997438,1.054269075
2,2.625,1.031978846,1.072360039,1.024427891,0.864605606,1.151852965
1.5,9.375,0.784918606,1.008024812,1.044437051,1.044352055,0.649435818
7.875,5,1.026521921,1.217804432,1.025474906,1.01604259,1.278738618
6.875,4.375,1.169454575,1.07711339,1.252979875,1.06921196,1.278505325
7.5,0.875,1.247637272,1.657764316,1.102194071,0.904460609,1.343289495
9.5,4.375,0.97609818,0.896167219,1.104105949,0.936391711,1.375295401
4.5,5.5,1.171306252,0.951466441,1.218274951,0.837494671,0.987264037
3.375,1,1.233217001,0.666296124,0.987004042,0.876076758,1.173705459
7.875,1,1.143835306,1.490442991,1.048655272,0.882675827,1.339264512
8.25,6.5,0.992497921,0.85993892,1.115110159,1.06943047,1.113795996
3.75,8,0.849597573,1.146876454,1.040502071,0.980856299,0.967466652
8.875,9.75,0.982326984,1.115231752,1.163731337,1.088266492,1.080108762
3.75,7.625,0.873006523,0.388529122,1.047181726,0.901168942,0.948598981
1.25,7.25,0.716406584,1.01119566,1.135678172,0.871630728,0.838434398
3.125,0.5,1.241414309,0.071481377,0.920025527,0.812789381,1.199147105
4.125,4.875,1.104069114,0.628645539,1.091370583,0.730893612,1.046575904
4.875,1.25,1.241511703,1.243348598,1.044331431,0.892634451,1.370465159
1.875,0.125,1.125239372,1.171569705,0.964140475,0.804967761,1.018046498
4.25,4,1.22449863,1.240852952,1.068301916,0.824230492,1.048515201
4.875,4.375,1.199660897,0.937295198,1.222343922,0.896596849,1.080913305
2.875,0.375,1.243476152,0.517589986,0.91350174,0.767471075,1.142682552
6.125,8.25,0.939719021,0.938228428,1.379817247,1.109159112,0.99443835
2.75,7.375,0.8734864,0.412888974,1.070346713,0.829647541,0.775050998
0.25,4.75,1.083795309,1.279257417,1.065232158,0.972411871,0.981178939
8.75,2.5,1.141466618,0.895552993,1.157741666,0.997193038,1.283090234
3.125,4.375,1.081604004,1.39336288,0.954300582,0.801264405,0.983192801
6,7.5,0.878960788,0.987421274,1.276782155,1.137351513,0.966294408
5.875,1.875,1.338664293,0.953527331,1.313190222,0.814030528,1.180186749
1.125,3.5,1.14352417,0.72669965,1.063769102,0.847100616,1.033508062
4.25,5.75,1.104312778,1.252566814,1.08083427,0.805237889,0.949919164
5.625,1,1.245513201,1.262120485,1.210336804,0.988488615,1.372143388
1,1.75,1.104159951,1.101579309,0.894414842,0.992925584,0.939557612
4,4.25,1.195346236,0.889092684,1.087813139,0.674657166,1.112487435
5,1.625,1.303328872,1.756146908,1.02679193,0.888945997,1.243776202
8.75,1.625,1.207884192,1.127048254,1.085994482,0.984013259,1.224401951
4,1.125,1.253096938,1.011739492,1.09694612,0.796036184,1.297686338
4,3.5,1.357170224,0.93373245,1.09903121,0.793744385,0.983300507
1.375,3.375,1.138301611,1.025380611,1.035718083,0.842298687,1.026275277
8.875,3.75,0.962797821,1.585890889,1.20253861,0.97755599,1.319778085
2.875,4.75,1.000941157,1.118478894,0.996625066,0.774354815,1.067444086
8.875,9.125,1.075591087,1.008355737,1.194192529,1.048010111,1.027151346
7.875,4.75,0.98844105,1.107059002,1.042291045,1.059907079,1.243830562
4.625,3.5,1.33643496,1.39086926,1.125507474,0.838869154,0.965197623
0.5,9.25,0.727522731,0.824394882,1.099052668,0.889209628,0.685734093
5.875,4.5,1.177342534,0.835713625,1.215051293,0.918302476,1.161337614
8.375,6.875,0.99042803,1.016866088,1.158728838,1.0216887,1.18076849
8.125,6,0.981936753,1.217519522,1.074601412,1.224041224,1.169232607
2,2.375,1.00907588,1.219895601,0.94506222,0.945793331,1.066525459
8.125,3.75,1.022469282,0.959496558,1.317913175,0.988769889,1.255191684
6.75,0.875,1.220201373,1.592320204,1.187459826,0.931496739,1.257095695
8.125,4,0.972120762,0.975550294,1.325295568,1.024453998,1.328764439
5.875,2.25,1.289196014,1.015424132,1.31248939,0.834246039,1.202758074
2.125,9.875,0.7525056,1.340681195,0.940434158,0.933836877,0.684010386
6.5,9.625,1.052931547,0.837357938,1.18657577,1.065572858,1.005821347
7.25,4.5,1.105929136,0.975261867,1.252199173,1.072360754,1.262654901
4,3.25,1.386272073,0.986586094,1.087241054,0.78867054,1.037350774
8.125,1.125,1.161749005,1.272827148,0.999720633,0.939726532,1.272942543
8.25,9.25,0.92363894,0.784120679,1.157257438,1.107478023,1.085553527
4.25,6.5,0.977134228,1.094800234,1.213263035,0.870498955,0.960003614
3.125,2.375,1.295190334,0.673610151,0.91273582,0.741845727,1.082315564
8,5.5,1.054466963,1.160448313,1.061044812,1.054421782,1.326268792
6.875,2.375,1.147502184,0.579473257,1.275908589,0.847760499,1.212670088
2.625,2,1.182858706,1.0030514,0.921042025,0.824831545,0.990285158
7.625,8.625,0.992384195,0.88482821,1.176768541,1.046171069,1.02134335
8.875,2.75,1.028813362,0.998703897,1.117279172,1.0280478,1.311303616
8.875,5.5,0.904461801,1.049104571,1.06529355,1.055209517,1.316218138
9.25,2.375,1.122119784,1.349780798,1.148267627,0.952615559,1.233205795
6.875,6.375,1.02740407,1.071189046,1.190962315,1.089314342,1.028736711
5.375,8.875,1.018099785,0.444967657,1.255166769,1.125552893,0.815259039
0.875,4.25,1.168989301,0.757399023,1.054351211,0.92681396,1.030548692
6,6.625,0.870829046,1.359300256,1.301236987,1.033907175,0.93786329
0.875,8.25,0.779073596,1.163594604,1.146472692,0.867635727,0.768244803
4.625,0.875,1.172937989,1.12663579,1.15954268,0.895981252,1.331691504
5.875,6,0.936992884,1.023895741,1.326575518,0.93806231,1.035844684
1.125,1,1.070041895,0.971912324,0.949343443,0.948748946,0.981681883
7,9.875,0.994961858,1.033060789,1.180706859,0.995861769,1.186333776
7.375,7.625,0.867459238,1.419413567,1.252576113,0.883543611,1.005734324
6.5,1.75,1.241248131,1.178411841,1.358457088,0.826660693,1.199956059
1.375,5.875,0.975589991,1.365818143,1.183432579,0.73439002,0.917566001
8.25,0.25,1.079244256,1.442478538,1.080394983,0.875841618,1.235298514
9.75,4.25,0.968988597,0.974665821,1.226344347,0.938192546,1.295627475
0,4,1.058188677,0.987061262,0.989609301,0.934802175,0.984746635
5.5,8.25,1.039332747,0.528537393,1.357044458,1.065390348,0.94745791
0.5,6.875,0.790291131,1.146508932,1.160339832,0.778388441,0.859246254
2.125,4.625,1.034313679,0.817693353,0.969473958,0.853033721,1.062657356
7.875,9.5,0.901737809,0.672649682,1.257010102,1.11890173,1.136359334
5.375,0.625,1.157065988,0.978733242,1.309448719,0.868858397,1.282762885
9.625,3.5,1.075018764,1.482763886,1.17301333,0.994422913,1.262451768
5.25,4.5,1.262555003,1.357852578,1.238056302,0.916756988,1.088906765
1,0,1.080536604,0.859512985,0.99709475,0.749265254,1.033475399
3.625,8.125,0.849052966,1.118648887,1.041563511,0.967682779,0.965836942
5.75,2,1.306295753,1.471003413,1.268049479,0.838469386,1.153234601
9.625,1.5,1.108998418,0.636098564,1.118028641,0.936849356,1.223699212
4.5,5,1.124858022,0.881902397,1.132705331,0.785704315,1.032414436
0.875,8.625,0.72604996,1.295081139,1.188518047,0.875223815,0.705026329
1.5,7.375,0.74202317,1.159324527,1.036478162,0.900961518,0.870996118
5.625,0,1.070846319,0.630067885,1.388481855,0.796641469,1.178417802
1,5.875,1.031976104,0.84768784,1.193444967,0.710155189,0.911398292
5.625,3,1.258037806,1.054866433,1.159458637,0.805369735,1.114173055
7.375,9.5,0.894818604,1.2297616,1.279214859,1.055939317,1.160383463
8.25,3,1.060416937,1.019803047,1.221913576,0.947577417,1.295300007
4.875,5.875,1.031455398,1.121186614,1.142936468,0.911013186,0.96546644
6.75,6.125,1.07984972,1.187142134,1.180584669,1.116419315,1.097053885
0.75,1.25,1.04993856,0.975309849,1.020198107,0.894377232,0.841359377
9.25,5.5,0.930121481,0.805746317,1.022682667,1.049034715,1.307638526
5.125,5.875,1.074683785,0.872871637,1.206261992,0.931037366,0.967351854
5.625,8.75,0.999604106,0.360114306,1.233223677,1.018531561,0.950028062
5.875,1.625,1.30829072,1.63722086,1.308431387,0.88205725,1.245006561
2.75,9.625,0.680020511,1.089899778,0.97334069,1.016163826,0.811643898
9.125,0.625,1.14098084,0.68914628,0.924020946,0.954195738,1.291998982
0.625,3.25,1.119253039,1.301208258,1.030473232,0.89409107,0.940369129
6.5,4,1.204813838,1.216903925,1.175702214,0.987474918,1.202314973
1.75,1.625,1.030652642,0.447109193,0.919194043,0.907802701,1.011423111
3.875,10,0.872292817,0.490542799,1.069322586,1.137157083,0.90956682
10,4.75,0.918364823,0.485257775,1.195619226,0.994455934,1.333308697
5.5,6.75,0.822739542,1.15885222,1.319753289,1.006615281,0.903854311
7.375,3.375,1.129591465,1.098710895,1.251186967,0.948090792,1.271163225
3.25,8.75,0.869084835,0.708538949,0.971461594,1.046687603,0.845550299
1.5,0.375,1.026310563,1.4040097,0.854956865,0.858768165,1.018026829
0.5,5.25,1.035729051,1.236783028,1.192200661,0.93370378,0.896241665
6.875,2.75,1.17802465,0.996744096,1.220689535,0.786430955,1.171674728
5.625,5.875,1.026621342,1.105295897,1.305426002,0.855605721,0.975667298
0.875,9.5,0.757739246,1.080000162,1.064905643,0.938639343,0.668500662
5.125,8,1.063315988,0.934968472,1.267809391,1.101288795,0.826274335
6.625,6.875,0.973355234,0.631887019,1.231034756,1.014528036,1.011575937
4.5,2.875,1.39853549,1.153595805,1.168236256,0.810255647,1.091316223
7.375,3.625,1.137116194,0.6101439,1.290263772,0.892944813,1.29474628
10,6.375,0.865609288,0.749937773,1.170147419,1.053072929,1.123138547
3.375,5.375,1.078938842,0.717936754,1.208713651,0.716282129,1.055537105
1.75,8.875,0.675035834,0.92967999,0.937030673,1.011406302,0.692727566
3.25,9.625,0.741212368,0.633676231,1.025268555,0.979502082,0.818151772
0.875,1.875,1.063284874,1.297742605,0.947910488,1.002438903,0.96188283
7.5,5.75,1.052989841,1.135479808,1.12198472,1.092401385,1.168729901
2.625,1.875,1.226032257,0.766296804,0.966036558,0.857126176,0.997965693
9.875,3.875,0.964858413,0.948419034,1.216974854,0.924547195,1.311155796
0.125,7.625,0.858466387,0.863703609,1.19483161,0.821346462,0.75937289
8.875,5.125,0.989856184,1.058080912,1.140990615,0.953015625,1.247811913
1.875,8.875,0.694800675,1.479472637,0.974452615,1.029459,0.718978167
0.125,3.125,1.06646204,0.786475778,1.112451911,0.938422859,0.985211432
8.875,1.125,1.239321589,0.818740606,0.946054101,0.896742582,1.276213646
3.25,9.875,0.772325397,1.10480082,0.995473385,1.021990538,0.841341615
5.375,4.875,1.245280266,1.371629715,1.28575933,0.848040283,1.052360058
9.625,9.625,0.949911356,1.220911264,1.188673973,1.157536268,1.02053535
1.75,3.75,1.158790946,1.140200496,1.067461371,0.787682772,1.026746511
2.125,9,0.696412921,1.288514495,1.008811951,1.021491051,0.70840472
1.5,9.875,0.726742029,0.747575223,0.969989657,0.95323205,0.604990304
5.125,8.5,1.007339001,0.287416667,1.265072227,1.173340201,0.962680161
2.875,7,0.939936996,0.873911381,0.988092661,0.822526813,0.838310361
6.125,4.125,1.099663258,1.02549994,1.208840489,0.920596838,1.157634616
8.5,7.125,0.913845122,1.101877689,1.14815414,1.03260088,1.157621622
4.75,3.375,1.303675771,1.380267978,1.188465834,0.821272433,1.024216413
8.75,0.125,1.138261318,1.021803617,0.933977962,0.917812169,1.228883982
6.125,1.625,1.209915161,1.260968566,1.381370068,0.892252684,1.259343624
7.125,9,0.985604584,1.320944905,1.29483211,1.131344557,1.117030025
0.125,6.875,0.905108988,0.565330625,1.197705388,0.728123367,0.922171533
3.375,6.75,0.980041265,0.840887785,0.988355398,0.775199354,0.863821447
1.125,1.25,1.061829805,1.094851255,0.949887693,0.981196523,0.950467169
7.25,0.125,1.13535285,1.5257864,1.17828548,0.861299992,1.185369492
0.75,0,1.107163787,1.017364621,1.049757838,0.72625488,0.998996675
2.375,5.625,1.010621667,1.016737938,1.144639134,0.78079921,0.994817674
5.5,9.875,0.94757092,1.189042211,1.237393737,1.041922569,0.778930187
7.625,2.75,1.024082303,0.823180795,1.216874242,0.799111784,1.245955825
7.125,5.75,1.03128469,1.191854835,1.066663742,0.963596702,1.137786746
0.875,7.75,0.775252938,0.918756425,1.138958335,0.860798776,0.737594426
9.625,1.875,1.070315719,1.256706953,1.115662813,0.938980401,1.295742035
0.75,2.375,1.069805026,0.875275493,0.977436423,0.807876706,1.052132249
3.375,3.125,1.334584951,1.509044528,1.099813223,0.801354945,1.06896162
0.5,1.75,1.077758908,1.674769163,1.010080099,0.94309777,0.946092129
9.125,1.375,1.196056962,0.797462285,1.052960515,0.919835389,1.2965132
0.75,4.625,1.138201952,0.623878777,1.105783939,0.938934982,1.017255425
1,0.5,1.100910425,0.889715731,1.023295641,0.911982656,1.096229434
4.25,9.75,0.846135616,0.959494412,1.072012424,1.205569029,0.87091583
4.75,0.75,1.160898209,1.142004609,1.26297915,0.890226901,1.324132442
1.875,0.625,1.091505289,0.828867853,0.895528555,0.904802501,1.1067729
6.875,0.125,1.100379705,0.953208148,1.225152016,0.938619673,1.196531534
4,4.625,1.107214928,1.001436472,1.076868534,0.718787611,1.124582767
2.375,1.625,1.1600945,0.846758068,0.994231701,0.834835172,1.041461587
5.25,9.875,0.831456006,1.001516938,1.182332397,1.073496222,0.730914414
1.25,0.25,1.071407795,0.947600842,0.897312522,0.794469774,0.998462617
9.375,9,1.004422307,1.022209167,1.186245561,1.088053703,1.007390141
