lsoa,index,income,employment,education,health,crime,housing,living,incomedeprivationaffectingchildrenindex,incomedeprivationaffectingolderpeopleindex,lat,lon
E01000359,5.562,0.046,0.059,9.7,-1.41,-0.573,16.77,9.764,0.07,0.041,51.47288707,0.1306787
E01000404,28.312,0.23,0.147,22.493,0.017,0.496,33.805,22.355,0.327,0.281,51.48591754,0.176369783
E01000332,16.068,0.115,0.1,19.069,-0.8,0.731,16.867,15.224,0.208,0.099,51.48570319,0.151344729
E01000333,28.058,0.22,0.16,32.245,0.17,0.636,20.489,19.334,0.348,0.189,51.48225204,0.146084273
E01000334,13.526,0.104,0.085,20.102,-0.626,-0.35,26.231,9.627,0.133,0.098,51.48333009,0.139140107
E01000335,31.602,0.224,0.15,42.596,-0.217,0.506,40.878,17.027,0.297,0.233,51.49996859,0.156637865
E01000336,32.856,0.257,0.164,23.979,0.175,0.676,34.309,31.749,0.324,0.349,51.49068981,0.145497541
E01000337,19.906,0.181,0.118,16.334,-0.382,0.351,22.576,18.413,0.309,0.142,51.48819122,0.141639483
E01000338,18.536,0.14,0.099,18.991,-0.8,0.525,25.828,22.963,0.241,0.139,51.48755866,0.147044816
E01000367,31.962,0.192,0.166,41.529,0.207,0.952,31.224,19.099,0.253,0.218,51.47233526,0.176738616
E01000372,29.17,0.226,0.192,30.501,0.27,0.201,24.549,14.834,0.324,0.192,51.474736,0.170401907
E01000373,32.982,0.286,0.17,28.225,0.132,0.238,41.185,9.986,0.316,0.329,51.474105,0.178519355
E01000402,20.623,0.178,0.122,20.729,-0.496,0.156,27.565,15.506,0.248,0.225,51.48312188,0.155517803
E01000403,28.86,0.214,0.142,23.806,-0.247,1.304,31.001,12.528,0.308,0.233,51.48089588,0.179272351
E01000405,24.856,0.21,0.146,23.282,-0.594,0.22,28.753,25.715,0.285,0.215,51.48961302,0.171814639
E01000406,25.048,0.179,0.118,18.869,-0.258,0.72,33.505,30.403,0.227,0.237,51.48394061,0.161554541
E01000407,16.843,0.11,0.107,19.138,-0.229,0.091,21.846,22.479,0.129,0.126,51.47916436,0.167083247
E01000408,21.526,0.184,0.128,22.197,-0.139,-0.003,21.227,24.195,0.275,0.211,51.49661334,0.167125091
E01000416,26.393,0.202,0.125,15.692,-0.42,1.257,33.903,13.397,0.295,0.229,51.49325421,0.124681539
