addresskey,prop_5,prop_4,prop_3,prop_2,prop_1
183064075,0.991246411,0.998489547,0.999969986,1,1
103069063,0.992057538,0.999009733,1,1,1
23246082,0.996488631,0.999769926,1,1,1
270989075,0.998369592,0.999989996,1,1,1
104365075,0.995138396,0.999609887,1,1,1
10366208000,0.979573464,0.995498605,0.999879957,1,1
7264915000,0.99166725,0.998979704,1,1,1
37595075,0.973448583,0.991767366,0.999439793,1,1
1323521000,0.991547041,0.998519645,1,1,1
13998075,0.997258958,0.999849941,1,1,1
104910063,0.997909247,0.999969991,1,1,1
7430251000,0.993547484,0.999519827,1,1,1
7118696000,0.849609395,0.90181349,0.958238724,0.993847601,0.998769594
7160974000,0.950526147,0.983095774,0.998669641,1,1
2119882000,0.915408852,0.959499875,0.992706718,0.999929973,1
59009052,0.997199272,0.999889968,1,1,1
19022052,0.996948902,0.999879959,1,1,1
24056052,0.997328958,0.999849956,1,1,1
443474072,0.962739194,0.987135626,0.998839617,1,1
168967058,0.996889004,0.99979992,1,1,1
56003068,0.985745153,0.997799318,1,1,1
1668196000,0.95936781,0.98321211,0.998129233,0.999989996,1
221202000,0.998199442,0.999989997,1,1,1
60477053,0.900758243,0.952757244,0.991006583,0.999839939,1
182820071,0.828643734,0.874613638,0.933993597,0.980514154,0.992557097
264052075,0.996848771,0.999849938,1,1,1
452617081,0.614067205,0.65837043,0.724940979,0.814080506,0.860661231
11629041000,0.857314353,0.900929288,0.95820579,0.993557423,0.998909651
101309063,0.997599304,0.999939981,1,1,1
224217063,0.991327138,0.998659477,1,1,1
120533075,0.997268962,0.999919981,1,1,1
10262483000,0.998079462,0.999989998,1,1,1
448086072,0.862843367,0.919477791,0.976302891,0.998459553,0.999829952
237231081,0.847708881,0.904968143,0.962174492,0.996028491,0.999519832
276492084,0.797369079,0.852715815,0.92354477,0.98151168,0.994888467
3198750000,0.986735623,0.996838988,0.999959987,1,1
38380082,0.995038809,0.999589893,1,1,1
11280306000,0.992637423,0.998749562,1,1,1
315700075,0.996118758,0.999679843,1,1,1
197982063,0.970491443,0.992357631,0.99980992,1,1
353354082,0.987936381,0.997579225,0.999959987,1,1
756081,0.982574424,0.996648995,0.999969989,1,1
194478053,0.926898801,0.969890967,0.996508988,0.999979993,1
7386312000,0.996208673,0.999779941,1,1,1
477667084,0.48383418,0.499769936,0.551180472,0.659237771,0.735963429
3110361000,0.970349029,0.992877365,0.99975994,1,1
87216071,0.972901599,0.993537803,0.999769931,1,1
178062063,0.997669114,1,1,1,1
169259058,0.982952499,0.995428674,0.999879956,1,1
460880081,0.829432241,0.887443982,0.953353207,0.993317862,0.998619503
19707068,0.993467975,0.999319789,1,1,1
34693082,0.993967889,0.999539802,1,1,1
7094817000,0.986145982,0.997699333,0.999979992,1,1
437413065,0.600786283,0.627036922,0.668323913,0.72864588,0.769522419
245642058,0.996658697,0.99976989,1,1,1
382730053,0.667453632,0.719561368,0.810219781,0.915708812,0.956908365
46136063,0.984565678,0.996829017,1,1,1
