addresskey,name,goog_lat,goog_lng,place_id,vicinity,price_level,rating,types,user_ratings_total
656071,Crayford Arms,51.452682,0.176917,ChIJwyeHmCKu2EcRhC-jb6O0S04,"37 Crayford High St, Crayford, Dartford",,3.7,"bar,point_of_interest,establishment",86
680071,Dukes Head,51.4530487,0.176614,ChIJqWJOuCKu2EcRRvb61Y6vNz0,"53 Crayford High St, Crayford, Dartford",2,4.5,"bar,point_of_interest,establishment",119
833084,The Prince Albert,51.479598,-0.1656867,ChIJHYutP3MFdkgRMCjchTYGsYk,"85 Albert Bridge Rd, London",2,4.1,"bar,restaurant,food,point_of_interest,establishment",746
1046075,Hope & Anchor,51.459609,-0.126682,ChIJXfsWY0QEdkgRpuATOYzfRyU,"123 Acre Ln, London",2,3.8,"bar,point_of_interest,establishment",576
1463053,The Maid Of Muswell,51.598889,-0.137945,ChIJ01NehtUbdkgRdjnC7wr40sw,"121 Alexandra Park Rd, London",2,4.2,"bar,restaurant,food,point_of_interest,establishment",431
1616082,The Britannia,51.4986972,-0.1954281,ChIJLcdBZ_EPdkgRsJq3DgIkAkY,"1 Allen St, London",2,4.2,"bar,restaurant,food,point_of_interest,establishment",603
1870068,The Shakespeare,51.5554888,-0.08177,ChIJy82odYgcdkgR3yqODeiloc8,"57 Allen Rd, London",2,4.4,"bar,point_of_interest,establishment",228
3105071,The One Bell,51.4537505,0.1754214,ChIJe8XVIj2u2EcRMMGrD65IUD0,"170 Old Rd, Crayford, Dartford",,4.4,"bar,point_of_interest,establishment",171
3355053,The Woodman,51.5777778,-0.1469444,ChIJgeXEA0oadkgRDjmXdize3nM,"414 Archway Rd, London",2,4.1,"bar,point_of_interest,establishment",1131
4693051,The Drill,51.5778092,0.2080629,ChIJS8-iYT-72EcRMNoZjjjXAmg,"Brentwood Rd, Gidea Park, Hornchurch, Romford",2,4.2,"bar,point_of_interest,establishment",227
6302068,The Harlequin,51.5299127,-0.1062258,ChIJN3EGrkQbdkgR9VRLSYKOtGs,"27 Arlington Way, London",2,4.3,"bar,point_of_interest,establishment",133
6307068,Shakespeares Head,51.5294547,-0.1066986,ChIJ-Ry0uEQbdkgR8yiVTHVbTyI,"1 Arlington Way, London",1,4.4,"bar,point_of_interest,establishment",160
6518082,The Builders Arms,51.489159,-0.1677582,ChIJGZBnhGsFdkgRBVMuGtt0Tt8,"13 Britten St, London",2,4.1,"bar,restaurant,food,point_of_interest,establishment",388
6846072,The Chatterton Arms,51.3924744,0.0357088,ChIJ9VJHUd6r2EcRu3U8QTPv6RU,"41 Chatterton Rd, Bromley",,3.9,"bar,point_of_interest,establishment",111
6987075,The Falcon,51.4643194,-0.1290139,ChIJ91DnDVkEdkgRWKCf40NtvTo,"33 Bedford Rd, London",2,4,"bar,restaurant,food,point_of_interest,establishment",703
7361082,Chelsea Ram,51.4791687,-0.1825377,ChIJURXOE3wFdkgRL0dVma7qrjM,"32 Burnaby St, London",2,4.4,"bar,restaurant,food,point_of_interest,establishment",308
7545082,Zetland Arms,51.493402,-0.1759108,ChIJYd8CB2gFdkgR_2H3_H4BKDM,"2 Bute St, London",2,4,"bar,point_of_interest,establishment",1387
8074084,The Devonshire,51.446902,-0.1490134,ChIJ9S2mLckFdkgRm7doWi-g3k8,"39 Balham High Rd, London",2,4.1,"bar,restaurant,food,point_of_interest,establishment",724
8287075,The Black Prince,51.4896083,-0.1121306,ChIJoZSUGZQEdkgRRuaPt2WZU_w,"6 Black Prince Rd, London",2,4.4,"night_club,bar,point_of_interest,establishment",476
8288075,Zeitgeist London,51.49133,-0.118332,ChIJYcIk2OoEdkgRI4mvHZPyGDA,"49-51 Black Prince Rd, London",2,4.1,"bar,restaurant,food,point_of_interest,establishment",866
8354068,Old Fountain,51.526986,-0.0890178,ChIJa24TbaYcdkgRWyC3I8id4Zo,"3 Baldwin St, London",2,4.4,"bar,restaurant,food,point_of_interest,establishment",282
8548071,Ashburnham Arms Ltd,51.47574,-0.0152324,ChIJzTLrB4kCdkgRGbtPXud4UZ8,"25 Ashburnham Grove, London",2,4.5,"bar,point_of_interest,establishment",158
