addresskey,lat,lon,rateablevalue,inTown
183064075,,,20400,0
103069063,,,157000,0
23246082,,,97000,0
270989075,,,13250,0
104365075,,,18200,0
10366208000,,,79000,0
7264915000,,,36750,0
37595075,,,89300,0
1323521000,,,156000,1
13998075,,,26500,0
104910063,,,131000,1
7430251000,,,27000,1
7118696000,,,5500,0
7160974000,,,77500,0
2119882000,,,58500,0
59009052,,,51900,0
19022052,,,35300,0
24056052,,,290000,0
443474072,,,13500,1
168967058,,,4700,0
56003068,,,5400,0
1668196000,,,222000,0
60477053,,,39000,1
182820071,,,68000,0
264052075,,,13400,0
452617081,,,104000,1
11629041000,,,120000,1
101309063,,,121000,1
224217063,,,86000,0
120533075,,,14000,0
448086072,,,35300,0
237231081,,,11750,0
276492084,,,122000,0
3198750000,,,138300,0
38380082,,,109000,0
11280306000,,,14000,1
315700075,,,32250,0
197982063,,,69000,1
353354082,,,57400,0
756081,,,89000,0
194478053,,,38750,1
7386312000,,,79500,0
477667084,,,79300,0
3110361000,,,92500,1
87216071,,,36750,1
178062063,,,140000,0
169259058,,,2750,0
460880081,,,97000,1
19707068,,,20500,1
34693082,,,86800,0
7094817000,,,94000,0
437413065,,,68000,1
245642058,,,22300,0
382730053,,,7600,0
46136063,,,50000,0
155776068,,,52500,0
1046075,,,67400,0
2511058,,,24200,0
376668065,,,41000,0
27868082,,,109000,0
101746063,,,32000,1
345244082,,,83000,0
9427671000,,,197000,1
1549433000,,,17750,0
7319781000,,,29000,1
7281634000,,,75300,0
187841084,,,30700,0
3393607000,,,92250,1
5327024000,,,109000,0
7352477000,,,21250,1
2740872000,,,39500,0
34916082,,,152000,0
285964071,,,33250,0
89985082,,,109000,0
7614773000,,,28000,1
490937084,,,136000,1
31017068,,,22000,0
7897455000,,,40500,0
104118063,,,27750,1
252455075,,,150000,0
10820044000,,,18750,1
94954075,,,45800,1
1260820000,,,135000,0
1166477000,,,236400,0
331395088,,,43000,0
7131543000,,,80300,1
111740063,,,60000,0
8621261000,,,80000,1
6307068,,,24500,0
6302068,,,12750,0
226320082,,,26000,0
2162367000,,,295000,0
3404430000,,,50000,1
6656664000,,,129000,0
7517400000,,,12100,0
266811075,,,46900,0
49318075,,,50600,0
50456075,,,24500,0
319826081,,,111000,0
1134074000,,,29500,0
254854075,,,31200,0
4041774000,,,168750,0
267771071,,,6050,0
413519000,,,125600,1
7859464000,,,20100,0
108071063,,,144000,0
4976530000,,,12400,0
106296063,,,27250,1
270088075,,,26700,0
224207063,,,145000,0
130306088,,,64000,0
6256698000,,,52000,0
5966028000,,,46500,1
425114088,,,25000,0
287887000,,,132000,0
186599053,,,19500,0
564975065,,,17750,0
169631058,,,5400,0
192700088,,,206000,1
4507364000,,,66250,0
99427071,,,22500,0
70031071,,,20700,0
127623088,,,147000,1
96656063,,,177000,0
228328082,,,79750,0
402263065,,,25000,0
220067063,,,218000,1
7661656000,,,21250,0
236523071,,,26750,0
399593065,,,50000,0
447429081,,,16000,0
1310258000,,,78300,0
179604072,,,83500,0
382145065,,,20250,0
4004478000,,,14600,0
6614985000,,,18000,1
96890063,,,40000,1
934592000,,,54700,1
7453981000,,,41800,0
640204000,,,120000,0
37148082,,,22750,1
3694884000,,,99500,0
353369082,,,65900,1
10694075,,,143000,0
1544235000,,,22750,0
8533800000,,,31300,0
161119058,,,9100,0
1131468000,,,22100,0
180591065,,,84000,0
3060676000,,,161000,1
129757000,,,152000,1
8360825000,,,57400,0
1801298000,,,98600,1
1659355000,,,118000,0
18756075,,,189000,1
90188071,,,77000,0
166669063,,,85000,0
6842087000,,,158000,1
65328075,,,28200,1
113143075,,,188000,1
25346075,,,5400,0
8926840000,,,10250,1
1642867000,,,19500,0
100938063,,,119000,0
19874068,,,14750,0
8006825000,,,110000,1
377216081,,,17250,0
33683082,,,97000,0
343187082,,,85750,0
558353065,,,42000,0
6473021000,,,97100,1
212418081,,,66000,0
60444051,,,98100,1
2247056000,,,21000,0
185775075,,,23400,1
161642075,,,13300,0
362415075,,,8750,0
165678075,,,30000,0
