locations_N1,locations_N2,features1,features2,store_features1,store_features2,error,locations_S1_1,locations_S2_1,locations_S1_2,locations_S2_2,locations_S1_3,locations_S2_3,locations_S1_4,locations_S2_4,locations_S1_5,locations_S2_5,locations_S1_6,locations_S2_6,locations_S1_7,locations_S2_7,locations_S1_8,locations_S2_8,locations_S1_9,locations_S2_9,locations_S1_10,locations_S2_10,locations_S1_11,locations_S2_11,locations_S1_12,locations_S2_12,locations_S1_13,locations_S2_13,locations_S1_14,locations_S2_14,locations_S1_15,locations_S2_15,locations_S1_16,locations_S2_16,locations_S1_17,locations_S2_17,locations_S1_18,locations_S2_18,locations_S1_19,locations_S2_19,locations_S1_20,locations_S2_20,locations_S1_21,locations_S2_21,locations_S1_22,locations_S2_22,locations_S1_23,locations_S2_23,locations_S1_24,locations_S2_24,locations_S1_25,locations_S2_25,locations_S1_26,locations_S2_26,locations_S1_27,locations_S2_27,locations_S1_28,locations_S2_28,locations_S1_29,locations_S2_29,locations_S1_30,locations_S2_30,locations_S1_31,locations_S2_31,locations_S1_32,locations_S2_32,locations_S1_33,locations_S2_33,locations_S1_34,locations_S2_34,locations_S1_35,locations_S2_35,locations_S1_36,locations_S2_36,locations_S1_37,locations_S2_37,locations_S1_38,locations_S2_38,locations_S1_39,locations_S2_39,locations_S1_40,locations_S2_40,locations_S1_41,locations_S2_41,locations_S1_42,locations_S2_42,locations_S1_43,locations_S2_43,locations_S1_44,locations_S2_44,locations_S1_45,locations_S2_45,locations_S1_46,locations_S2_46,locations_S1_47,locations_S2_47,locations_S1_48,locations_S2_48,locations_S1_49,locations_S2_49,locations_S1_50,locations_S2_50
8.25,3.25,0.54056036,0.4241027,0.2988805,0.054896675,1.04355668,7.875,1.25,3,5.375,1.375,1.75,2,4.875,3.125,4,6.375,2.125,7.125,8.75,4.5,7.625,8.375,3.25,7.875,1.75,6,4.875,3.375,2.25,5.125,2.75,5.125,5.625,8.75,4,8.625,5.75,3,4.625,1.5,6.875,3.875,2.125,1.25,5.375,4.125,8.375,3.5,3,6.25,4.125,1.25,8.375,4.125,1.875,5.875,4.25,1.5,7.5,6,3.25,8,7.5,3.5,5.125,1.75,4,7.125,7.875,5.625,6.625,4.5,3.75,4,6,8.5,1.125,8.25,7.625,1.625,3.125,4,6,3.125,6.5,8,8.25,3.625,6.75,6.125,3.25,6.75,7.25,5.625,4,6.5,1.25,3.625,3.25,1.375,5,7.75,4.875,4.125,4.5
2.75,6.75,0.30797324,0.44672942,0.06125551,0.14205013,0.082220615,7,7.375,3.125,5.875,5.375,8.25,1.5,2.875,5.375,8,6.125,8,6.75,1.75,1.875,4.375,6.5,4.5,5.25,7.25,1.5,8.125,2.75,7.125,7.25,6.875,2,2.25,5,7.375,8.5,2.5,2.625,7.5,8.5,7,6.75,4.25,3.75,5.5,7.75,5.375,5.75,5.875,1.5,4.375,7.375,4.375,6.75,8.25,3.375,1.625,6.625,2.25,5.625,3.625,6.75,5.375,2.75,5.375,4.125,7.5,4.625,8.875,4.375,7.625,5.625,6.5,3.125,4,5.875,7.25,8.875,8.625,5.75,1.375,1.625,4,4,1.375,5.25,1.5,5.125,3.5,1.75,8.375,3.875,1.5,8.75,6.75,2.125,4.25,3.75,4,8.125,7.625,2.5,8.5,4.875,3.375
7.125,2.875,0.6412344,0.49357054,0.318907,0.0948787,0.575102771,8.125,8,3.25,5.75,6.125,3.125,3.875,7.5,4.5,2.25,4.75,2.5,5.5,3.375,2.5,6.125,1.25,4.375,3.375,8,8,3.75,2.75,2.625,3,4.125,2,3.125,4.5,6.5,5.875,5.875,2.125,4.875,7.5,3.5,6.875,1.875,4.125,5.75,2.75,6.125,5.75,1.25,2.5,2.875,7.75,6.125,2.75,8.625,7.75,5.375,7.875,3.875,2.625,8,6.625,3.5,2,4.5,4.25,7.125,1.875,1.125,8.125,1.875,2,3.5,7.75,8.875,2,4.625,5.125,7.5,8.5,8.5,1.625,7.375,8,5.625,2.625,3.375,2.75,2.625,8.875,1.5,6.125,5.375,2.625,1.125,6,7.75,4.375,3.875,8.5,1.25,3.25,7.125,7.625,7.625
1,9.875,0.18956737,0.41823888,1,0.20834124,-0.633676025,3.625,3.375,2.5,7.375,6.25,3.75,6,7.75,3.75,8.25,6.25,1.125,4.5,4.125,1.375,7.5,1.125,5.375,5.25,4.5,7,2,2,1.375,8.375,5.125,4.375,5.75,1.375,4,4.25,3,7.75,3.875,3,4.125,3.75,4,8.5,1.75,7.25,4.5,1.375,3.875,3.625,2.125,7.375,8.25,4.25,1.875,7.5,3.5,5.75,2.625,7.5,8,4.375,5.625,3,4.75,1.375,6,4.75,1.875,6.875,3.375,7.125,4.875,5.5,5,3.875,2.875,1.375,7.25,6.5,3.375,4.125,4.75,7.625,5.25,8.75,7.125,5,6,1.375,4.125,1.625,2.125,5.375,2,6,2.5,8.125,4.25,8.625,4.875,2.625,8.875,7.75,8.625
0.125,2.75,0.49255565,0.40301415,0.16251709,0.085058436,0.090517565,8.125,8.375,3,6.75,8.375,8.75,7.5,6.375,3.875,5,8,2.125,3.125,1.5,6.875,3.625,4.5,6.625,8.375,3,5.75,1.75,3,2.125,8.5,7,4.5,2,8.5,1.25,2.5,5.625,4.875,7.625,4.5,7.125,4.125,2.125,7.875,2.625,5.875,6.375,3.25,1.5,1.375,4.25,4.5,2.125,6.75,2.5,1.75,5.75,8.375,8.5,7.125,5.125,2.25,1.25,5.625,7,8.75,5.5,8.75,7.625,8.125,4.875,2.125,3.75,1.125,5.625,5.625,7.125,8.125,1.75,7.75,1.75,8.625,6.375,6.625,6.5,8.75,8.125,8.375,1.875,2.375,1.75,3.375,2.75,5.5,4.75,4.125,7.25,2.625,8.375,2.625,8.25,7.5,8.75,1.25,7.125
5,3.875,0.80450326,0.63189745,0.102696344,0.23671465,0.588930969,1.625,2,3.5,4.5,5.5,3.125,3,3.5,5.625,4.25,7.375,3.75,3.625,2,5.625,5.25,7.75,2,2.75,6,3.25,4.875,3.625,3.625,3.875,4.5,5.25,4,8.5,2,3.25,2.625,5.75,8.375,1.25,3.25,6.25,7.75,6,3.25,5.25,8.25,8.25,2,2.25,1.625,2.375,4.125,8.25,6.625,6.125,8.375,7,2.875,1.125,5.875,6.75,5.125,5.5,7.75,3,1.25,5.625,1.125,3.5,6.75,2.375,5,6.875,7.5,8.75,3.375,6.75,3.75,6.25,5,4.5,8.375,5.75,2.375,4.75,3.5,2.625,5,8.875,5.875,8.875,3,8.25,2.375,3.375,6.625,1.5,7.125,7.5,2.5,5.25,7,3.5,4.125
0.875,9.375,0.19184643,0.49405134,0.14257972,0.003183601,-0.167505381,6.5,3.875,2.375,5.625,3.25,6.625,2.5,8.625,4.625,8.875,5.625,8.5,7.375,7.625,4.125,1.5,5.625,1.375,5.375,2.125,3.75,6.375,5,1.125,7.25,5.5,5.875,7.125,5.25,7.375,6.125,2.75,2.875,8.75,3.75,3.375,3.875,3.625,4,7.5,2.5,8.375,6.875,1.875,1.375,7.5,8.25,6.875,6.375,5.25,3.75,6.25,2,3.875,6.875,1.5,6.875,2.75,1.125,5.375,4.125,1.5,5.625,3.375,7.25,6.25,6.625,4.375,8.5,1.625,3.375,3,7.75,2,4.875,5.125,2.625,6,3.5,8.375,5.125,5.75,4.125,2.5,6.5,8.75,1.875,1.125,8.875,6.5,4.375,5.125,6.625,2.375,7,6.625,4.25,2.125,7.75,1.5
8.25,7.5,0.3831831,0.6229191,0.12486541,0.2430158,0.515557229,7.125,6,2.75,5.625,7.875,8.875,6.75,8,6.125,4.875,4.625,3,5.625,2.875,6.5,8.375,3.875,4.25,3.5,1.125,8.5,7.875,7,6.25,3.25,7.25,8.625,2.375,3.125,6.375,8.875,4.75,3.75,8.125,1.75,7.5,7.125,4.875,5.875,8.875,6.25,7.125,8.75,6.75,1.875,5.625,6.625,1.25,5.375,6.375,3.625,5.25,6.875,3.875,7.5,6.25,2.25,5.25,3.375,5.25,5.5,2,1.875,1.375,7.375,7.125,1.875,7.5,7.75,5.5,3.875,7.5,4.25,5.75,5.5,2.75,2.25,7.375,3.25,4.875,3.5,6.125,6.5,4.625,4.5,3.75,4.125,5.625,6.75,7.75,8.25,1.75,5.625,4.75,7,2.75,1.375,4.75,8,4.875
6.25,1.875,0.8376163,0.64188236,0.047076665,0.027842626,-0.542283956,8.625,6.5,3.5,5.5,5.625,4.25,6,3.375,4.375,8,7.125,5.375,6.125,3.75,8.125,4.5,6.5,5.25,7.5,1.875,8.25,2.5,5.375,6.5,3.25,2.875,4.75,6.75,5.125,4.75,3.625,1.375,6.375,8.125,7.75,3.75,6.25,2.375,4.25,4.5,1.625,4,6.625,2.5,5.875,2.25,7.125,5,8.625,5.625,7.375,3.125,1.75,2.875,5,7.125,2.75,8.625,3.5,6.875,5.625,5.5,4.25,4.625,6,1.25,2.125,6.125,2.125,7.25,6,8.75,7,6.375,7.375,6.125,7.5,1.375,1.75,8,5.5,7.375,1.25,2.375,6.75,7.875,3.25,2.5,8,3.375,1.75,7.625,2.125,6,6.5,4.125,2.25,2.125,2.125,7.25
6.25,1.25,0.8688115,0.59081143,0.18859483,0.1340708,-0.681735772,2,3.875,1.25,1.125,1.5,6.5,4.625,7.75,8.875,8.875,1.375,7,7.625,7.375,8.125,6,2.75,7.125,6,7.875,4.625,7.5,6.125,7.75,1.625,1.375,2.875,1.75,2.625,3,6.375,3.375,1.375,3.875,2.625,5.375,1.375,5.25,5.25,4.375,8.5,8.625,8.875,8.625,6.875,7.75,5.75,7.25,1.375,6.25,2.75,4.75,4.5,1.75,8.25,1.5,4.375,6.875,3.5,8.5,1.625,2,8.25,2.5,8.625,1.25,3.5,3.875,1.5,1.75,1.5,1.75,7.375,6.875,6.75,6.25,8.625,1.25,8.375,3.5,3.875,6.125,8,1.625,2.125,4.875,3.75,2.25,6.625,3.375,6.75,2.875,7.875,2.25,3.75,7.875,2.625,2.375,3.375,8
